"1964","1337.09836066"
"1965","1924.09315068"
"1966","1210.5260274"
"1967","1737.5260274"
"1968","1393.21584699"
"1969","1613.76164384"
"1970","1225.38630137"
"1971","3231.59178082"
"1972","2705.46174863"
"1973","1907.3890411"
"1974","1999.72054795"
"1975","2282.40547945"
"1976","2006.42622951"
"1977","720.983561644"
"1978","1382.17808219"
"1979","1055.00821918"
"1980","2318.35519126"
"1981","912.649315068"
"1982","2461.8630137"
"1983","4313.06849315"
"1984","4989.15300546"
"1985","2625.1369863"
"1986","4532.10958904"
"1987","1208.63287671"
"1988","675.991803279"
"1989","861.073972603"
"1990","579.112328767"
"1991","748.002739726"
"1992","402.467213115"
"1993","1363.17534247"
"1994","667.780821918"
"1995","1300.85753425"
"1996","1407.69945355"
"1997","2843.62191781"
"1998","2791.37808219"
"1999","2371.78630137"
"2000","968.163934426"
"2001","648.504109589"
"2002","689.610958904"
"2003","499.260273973"
"2004","667.893442623"
"2005","1691.21643836"
"2006","1718.70684932"
"2007","730.868493151"
"2008","849.095628415"
"2009","1309.54246575"
"2010","865.369863014"
"2011","2571.04657534"
"2012","905.795081967"
"2013","661.052054795"
"2014","759.490410959"
